NB: I medicinali carenti, per i quali il Titolare AIC non abbia provveduto a comunicare la data effettiva di fine carenza, continueranno ad essere presenti nella “Lista dei farmaci temporaneamente carenti”, anche oltre la “data di fine presunta” inizialmente comunicata e indicata nella presente lista;;;;;;;;;;;;
Elenco dei farmaci carenti aggiornato al 06/11/2025;;;;;;;;;;;;
Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilità;Codice ATC
ACIDO ZOLEDRONICO HOSPIRA;042486035;ACIDO ZOLEDRONICO;4MG/100 ML - SOLUZIONE PER INFUSIONE-USO ENDOVENOSO-SACCA (PP/PP)- 4MG/100ML -1 SACCA;PFIZER EUROPE MA EEIG;21/12/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACIDO ZOLEDRONICO HOSPIRA;042486023;ACIDO ZOLEDRONICO;4MG/5 ML CONCENTRATO PER SOLUZIONE PER INFUSIONE-USO ENDOVENOSO-FLACONCINO (PLASTICA)- 4MG/5ML-1 FLACONCINO;PFIZER EUROPE MA EEIG;04/01/2017;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACIDO ZOLEDRONICO MEDAC;042333043;ACIDO ZOLEDRONICO;"""4 MG/100 ML - SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONE (VETRO) - 100 ML"" 1 FLACONE";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;01/09/2020;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACIDO ZOLEDRONICO MEDAC;042333017;ACIDO ZOLEDRONICO;"""4 MG/5 ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (PLASTICA) - 5 ML"" 1 FLACONCINO";MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE MBH;01/09/2020;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACIDO ZOLEDRONICO TEVA;042230045;ACIDO ZOLEDRONICO;"""4 MG/5 ML - CONCENTRATO PER SOLUZIONE PER INFUSIONE - USO ENDOVENOSO - FLACONCINO (VETRO) - 5 ML"" 1 FLACONCINO";TEVA B.V.;01/06/2016;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACLASTA;037105018;ACIDO ZOLEDRONICO MONOIDRATO;5 MG SOLUZIONE PER INFUSIONE FLACONE 100 ML /5 MG 1 FLACONE;SANDOZ PHARMACEUTICALS D.D.;15/01/2025;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;M05BA08
ACLATON;044236418;PREGABALIN;"""75 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";NEURAXPHARM ITALY S.P.A.;01/11/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
ACLATON;044236444;PREGABALIN;"""75 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";NEURAXPHARM ITALY S.P.A.;01/11/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
ACLATON;044236661;PREGABALIN;"""150 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";NEURAXPHARM ITALY S.P.A.;01/04/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
ACLATON;044236697;PREGABALIN;"""150 MG CAPSULE RIGIDE"" 56 CAPSULE IN BLISTER PVC/AL";NEURAXPHARM ITALY S.P.A.;01/04/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
ACLATON;044236014;PREGABALIN;"""25 MG CAPSULE RIGIDE"" 14 CAPSULE IN BLISTER PVC/AL";NEURAXPHARM ITALY S.P.A.;01/03/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02BF02
ACQUA PER PREPARAZIONI INIETTABILI B. BRAUN;030898124;ACQUA PER PREPARAZIONI INIETTABILI;""" SOLVENTE PER USO PARENTERALE "" 10 FLACONCINI 500 ML";B. BRAUN MELSUNGEN AG;08/03/2024;31/01/2026;Sì;Elevata richiesta: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V07AB
ACQUA PER PREPARAZIONI INIETTABILI BAXTER;030906465;ACQUA PER PREPARAZIONI INIETTABILI;"""SOLUZIONE PER USO PARENTERALE"" 10 SACCHE VIAFLO 1000 ML";BAXTER S.P.A.;24/10/2024;;Sì;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V07AB
ACQUA PER PREPARAZIONI INIETTABILI FKI;030757025;ACQUA PER PREPARAZIONI INIETTABILI;"""SOLVENTE PER USO PARENTERALE"" 1 FLACONCINO DA 100 ML";FRESENIUS KABI ITALIA S.R.L.;31/12/2023;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V07AB
ACQUA PER PREPARAZIONI INIETTABILI FKI;030757037;ACQUA PER PREPARAZIONI INIETTABILI;FLACONE 250 ML;FRESENIUS KABI ITALIA S.R.L.;01/12/2022;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V07AB
ACQUA PER PREPARAZIONI INIETTABILI MONICO;030779159;ACQUA PER PREPARAZIONI INIETTABILI;SACCA 3000 ML;MONICO S.P.A.;01/08/2024;31/12/2025;Sì;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;V07AB
ACTHIB;028473015;VACCINO HAEMOPHILUS INFLUENZAE B CONIUGATO CON TOSSOIDETETANICO;"""POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE"" 1 FLACONCINO POLVERE+1 SIRINGA PRERIEMPITA SOLVENTE 0,5 ML";SANOFI WINTHROP INDUSTRIE;01/05/2025;;Sì;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;J07AG51
ACTIFED COMPOSTO;021102037;DESTROMETORFANO + DESTROMETORFANO BROMIDRATO + PSEUDOEFEDRINA + PSEUDOEFEDRINA CLORIDRATO + TRIPROLIDINA + TRIPROLIDINA CLORIDRATO;"""SCIROPPO"" FLACONE 100 ML";KENVUE ITALIA S.P.A.;28/02/2026;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R05DA20
ACTIGRIP;024823066;PARACETAMOLO + PSEUDOEFEDRINA CLORIDRATO + TRIPROLIDINA CLORIDRATO;«2,5 mg/60  mg/300  mg  compresse»  12 compresse in blister AL/PVC/PVDC;KENVUE ITALIA S.P.A.;06/03/2019;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R01BA52
ACTIQ;035399056;FENTANIL;"""400 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;30/04/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"- cessata commercializzazione per il canale retail a partire dal 30/04/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 09/04/2021";A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399094;FENTANIL;"""600 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;13/08/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"- cessata commercializzazione per il canale retail a partire dal 13/08/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 28/02/2021";A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399132;FENTANIL;"""800 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;31/08/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399171;FENTANIL;3 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1200 MCG;TEVA ITALIA S.R.L.;31/05/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399219;FENTANIL;3 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1600 MCG;TEVA ITALIA S.R.L.;31/08/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399017;FENTANIL;"""200 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 3 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;15/07/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"- cessata commercializzazione per il canale retail a partire dal 15/07/2020
- cessata commercializzazione per il canale ospedaliero a partire dal 12/12/2020";A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399233;FENTANIL;15 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1600 MCG;TEVA ITALIA S.R.L.;31/01/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"Le confezioni distribuite a gennaio 2025 avranno validità ridotta (scadenza: 30/06/2025); da febbraio 2025 sarà disponibile la confezione sostitutiva AIC 035399474";A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399195;FENTANIL;15 PASTIGLIE OROSOLUBILI PER MUCOSA ORALE CON APPLICATORE INCORPORATO DA 1200 MCG;TEVA ITALIA S.R.L.;30/04/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399031;FENTANIL;"""200 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO""15 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;30/11/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399070;FENTANIL;"""400 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 15 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;13/10/2025;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTIQ;035399118;FENTANIL;"""600 MICROGRAMMI PASTIGLIA PER MUCOSA ORALE CON APPLICATORE INCORPORATO"" 15 PASTIGLIE IN BLISTER PVC/ACLAR-CARTA/PET";TEVA ITALIA S.R.L.;31/01/2026;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AB03
ACTONEL;034568067;RISEDRONATO SODICO;"""30 MG COMPRESSE RIVESTITE  CON FILM"" 14 COMPRESSE IN BLISTER";THERAMEX IRELAND LIMITED;31/03/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;M05BA07
ACTUALENE;033359035;CABERGOLINA;"""0,5 MG COMPRESSE"" 8 COMPRESSE";PFIZER ITALIA S.R.L.;06/05/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G02CB03
ACURMIL;035348022;ATRACURIO BESILATO;""" 50 MG/5 ML SOLUZIONE INIETTABILE "" 5 FIALE";LABORATORIO ITALIANO BIOCHIMICO FARMACEUTICO LISAPHARMA S.P.A.;29/03/2019;;Sì;Cessata commercializzazione temporanea;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DELL'ASSISTITO;M03AC04
ADALAT CRONO;027980022;NIFEDIPINA;"""60 MG COMPRESSE A RILASCIO MODIFICATO"" 14 COMPRESSE";BAYER S.P.A.;22/09/2020;;Sì;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;C08CA05
ADALAT CRONO;027980034;NIFEDIPINA;"""20 MG COMPRESSE A RILASCIO MODIFICATO"" 14 COMPRESSE";BAYER S.P.A.;18/08/2020;;No;Cessata commercializzazione definitiva;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;C08CA05
ADEMPAS;043333119;RIOCIGUAT;2 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU) - 84 COMPRESSE;BAYER AG;04/08/2022;01/01/2027;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C02KX05
ADEMPAS;043333145;RIOCIGUAT;2,5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU) - 84 COMPRESSE;BAYER AG;23/08/2022;01/01/2027;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C02KX05
ADEMPAS;043333083;RIOCIGUAT;1,5 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE -BLISTER  (PP/ALU)  - 84 COMPRESSE;BAYER AG;22/07/2022;01/01/2027;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C02KX05
ADEMPAS;043333057;RIOCIGUAT;1 MG - COMPRESSA RIVESTITA CON FILM - USO ORALE - BLISTER  (PP/ALU)  - 84 COMPRESSE;BAYER AG;24/11/2022;01/01/2027;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C02KX05
ADENOSINA KABI;043979095;ADENOSINA;"""3 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 SIRINGHE DA 3MG/1ML";FRESENIUS KABI ITALIA S.R.L.;22/03/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;C01EB10
ADENOSINA KABI;043979069;ADENOSINA;"""3 MG/ML SOLUZIONE INIETTABILE IN SIRINGA PRERIEMPITA"" 10 SIRINGHE DA 12MG/4ML";FRESENIUS KABI ITALIA S.R.L.;22/03/2021;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;C01EB10
ADESITRIN;026068015;NITROGLICERINA;"""5 MG/24 H CEROTTI TRANSDERMICI"" 15 CEROTTI TRANSDERMICI";Merus Labs Luxco II S.à.r.l.;01/12/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01DA02
ADESITRIN;026068027;NITROGLICERINA;"""10 MG/24 H CEROTTI TRANSDERMICI"" 15 CEROTTI TRANSDERMICI";Merus Labs Luxco II S.à.r.l.;15/12/2025;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01DA02
ADRENALINA S.A.L.F.;030650016;EPINEFRINA;"""0,5 MG/ML SOLUZIONE INIETTABILE"" 5 FIALE DA 1 ML";S.A.L.F. SPA  LABORATORIO FARMACOLOGICO;01/02/2024;31/12/2025;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C01CA24
ADRIBLASTINA;022393060;DOXORUBICINA CLORIDRATO;"""50 MG/25 ML SOLUZIONE INIETTABILE PER USO ENDOVENOSO "" 1 FLACONE 25 ML";PFIZER ITALIA S.R.L.;15/01/2026;;Sì;Problemi produttivi;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01DB01
ADVANTAN;028159046;METILPREDNISOLONE ACEPONATO;""" O,1% SOLUZIONE CUTANEA"" FLACONE DA 20 ML";LEO PHARMA A/S;19/06/2024;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;D07AC14
AERIUS;035201401;DESLORATADINA;"""2,5 MG COMPRESSA ORODISPERSIBILE - USO ORALE"" BLISTER PVC/OPA/ALU) 18 COMPRESSE";N.V. ORGANON;11/07/2016;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R06AX27
AERIUS;035201425;DESLORATADINA;"""2,5 MG COMPRESSA ORODISPERSIBILE - USO ORALE"" BLISTER PVC/OPA/ALU) 30 COMPRESSE";N.V. ORGANON;13/04/2020;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;R06AX27
AFSTYLA;045255015;LONOCTOGOC ALFA;"250 UI - POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE - USO ENDOVENOSO - POLVERE: FLACONCINO (VETRO); SOLVENTE: FLACONCINO (VETRO) - POLVERE: 250 UI + SOLVENTE: 2,5 ML (100 UI/ML) - 1 FLACONCINO + 1 FLACONCINO + 1 DISPOSITIVO DI TRASFERIMENTO CON FILTRO + 1 SIRINGA + 1 SET PER L''INIEZIONE IN VENA + 2 TAMPONI + 1 CEROTTO";CSL BEHRING GMBH;10/11/2020;;No;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD02
AGEMO;042907016;ACIDI OMEGA 3 ESTERI ETILICI 90;""" 1000 MG CAPSULE MOLLI "" 20 CAPSULE IN BLISTER PVC/ACLAR/AL";I.B.N. SAVIO S.R.L;15/02/2026;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;C10AX06
AGNUCASTON;049563012;AGNI CASTI FRUCTUS EXTRACTUM SICCUM;"""20 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER PVC/PVDC/AL";BIONORICA SE;01/04/2025;;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;G02CX03
AIDEX;044372023;RASAGILINA MESILATO;""" 1 MG COMPRESSE ""  28 COMPRESSE IN BLISTER PVC/PVDC/AL";ECUPHARMA S.R.L.;10/08/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N04BD02
AIMAFIX;025841089;FATTORE IX DI COAGULAZIONE DEL SANGUE UMANO LIOFILIZZATO;"""500 U.I. POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO POLVERE + 1 FLACONCINO SOLVENTE DA 10 ML + SET PER LA RICOSTITUZIONE E SOMMINISTRAZIONE";KEDRION S.P.A.;23/07/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD04
AIMAFIX;025841103;FATTORE IX DI COAGULAZIONE DEL SANGUE UMANO LIOFILIZZATO;"""1000 U.I./10 ML POLVERE E SOLVENTE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO POLVERE + 1 FLACONCINO SOLVENTE DA 10 ML + SET PER RICOSTITUZIONE E SOMMINISTRAZIONE";KEDRION S.P.A.;10/10/2025;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B02BD04
AKIRAB;041984030;RABEPRAZOLO SODICO;"""10 MG COMPRESSE GASTRORESISTENTI"" 28 COMPRESSE IN BLISTER AL-OPA-PVC/AL";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;01/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC04
AKIRAB;041984016;RABEPRAZOLO SODICO;"""10 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN BLISTER AL-OPA-PVC/AL";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;01/05/2023;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC04
AKIRAB;041984042;RABEPRAZOLO SODICO;"""20 MG COMPRESSE GASTRORESISTENTI"" 28 COMPRESSE IN BLISTER AL-OPA-PVC/AL";SO.SE.PHARM S.R.L. SOCIETA' DI SERVIZIO PER L'INDUSTRIA FARMACEUTICA ED AFFINI;02/11/2022;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC04
ALABASTER;037776010;BECLOMETASONE DIPROPIONATO ANIDRO + FORMOTEROLO FUMARATO DIIDRATO;"""100/6  microgrammi  per  erogazione soluzione pressurizzata per inalazione» 1 contenitore sotto pressione al da 120 erogazioni;";MASTER PHARMA S.R.L.;11/10/2021;;Sì;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;R03AK08
ALBAFLO;041354010;BETAMETASONE;"""1,5 MG/2 ML SOLUZIONE INIETTABILE"" 6 FIALE DA 2 ML";ESSETI FARMACEUTICI S.R.L.;01/06/2024;;Sì;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;H02AB01
ALBAFLO;041354022;BETAMETASONE;"""4 MG/2 ML SOLUZIONE INIETTABILE"" 3 FIALE DA 2 ML";ESSETI FARMACEUTICI S.R.L.;01/06/2024;;Sì;Cessata commercializzazione temporanea;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;H02AB01
ALBIOMIN;039073010;ALBUMINA UMANA;"""5% (50G/L), SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 250 ML";BIOTEST PHARMA GMBH;14/03/2022;31/12/2025;Sì;Cessata commercializzazione temporanea;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DELL'ASSISTITO;B05AA01
ALBIOMIN;039073022;ALBUMINA UMANA;""" 20% (200G/L) SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 50 ML";BIOTEST PHARMA GMBH;15/03/2022;31/12/2025;No;"Ridotta disponibilità per forniture discontinue: distribuzione contingentata";Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DEL SSN.;B05AA01
ALBIOMIN;039073034;ALBUMINA UMANA;""" 20% (200G/L) SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 100 ML";BIOTEST PHARMA GMBH;15/03/2022;31/12/2025;No;Cessata commercializzazione temporanea;Si rilascia autorizzazione all’importazione alle strutture sanitarie per analogo autorizzato all’estero;;A TOTALE CARICO DEL SSN.;B05AA01
ALBUMINA BAXALTA;037566054;ALBUMINA UMANA;"""200 G/L SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 50 ML";BAXALTA INNOVATIONS GMBH;01/04/2021;;Sì;Elevata richiesta: forniture discontinue (carenza relativa solo al canale retail);Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;Il titolare garantisce nel canale ospedaliero solo le forniture in conto lavorazione e a seguito di gare aggiudicate;A TOTALE CARICO DEL SSN.;B05AA01
ALBUMINA BAXALTA;037566092;ALBUMINA UMANA;"""250 G/L SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 50 ML";BAXALTA INNOVATIONS GMBH;26/06/2020;;Sì;Cessata commercializzazione temporanea: disponibili solo confezioni prodotte da plasma in conto lavorazione;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;B05AA01
