codice_aic;principio_attivo;quantita;unita_misura
001635147;ACIDO ASCORBICO/SULMARINA;;
001635150;ACIDO ASCORBICO/SULMARINA;;
001635162;ACIDO ASCORBICO/SULMARINA;;
001635174;ACIDO ASCORBICO/SULMARINA;;
001635186;ACIDO ASCORBICO/SULMARINA;;
001635198;ACIDO ASCORBICO/SULMARINA;;
001661014;TIROIDE SECCA;330;MG
001661014;TIROIDE SECCA;330;milligrammi
001661026;TIROIDE SECCA;830;milligrammi
001661026;TIROIDE SECCA;830;MG
001663018;FITOTERAPICI/FENOLFTALEINA;;
001663020;FITOTERAPICI/FENOLFTALEINA;;
001678010;ANTAZOLINA;;
001678010;NAFAZOLINA;;
001688011;N.D.;0;N.D.
001693011;N.D.;0;N.D.
001693023;N.D.;0;N.D.
001711011;N.D.;0;N.D.
001714017;N.D.;0;N.D.
001714029;N.D.;0;N.D.
001721012;ACIDO ASCORBICO;;
001721024;ACIDO ASCORBICO;;
001721036;ACIDO ASCORBICO;;
001721048;ACIDO ASCORBICO;;
001731013;N.D.;0;N.D.
001731025;N.D.;0;N.D.
001738018;COLECALCIFEROLO;;
001738018;VITAMINA A ACETATO;;
001738020;COLECALCIFEROLO;;
001738020;VITAMINA A ACETATO;;
001738032;VITAMINA A ACETATO;;
001738032;COLECALCIFEROLO;;
001738044;COLECALCIFEROLO;;
001738044;VITAMINA A ACETATO;;
001738057;COLECALCIFEROLO;;
001738057;VITAMINA A ACETATO;;
001738069;VITAMINA A ACETATO;;
001738069;COLECALCIFEROLO;;
001738071;VITAMINA A ACETATO;;
001738071;COLECALCIFEROLO;;
001738083;VITAMINA A ACETATO;;
001738083;COLECALCIFEROLO;;
001738095;COLECALCIFEROLO;;
001738095;VITAMINA A ACETATO;;
001738107;COLECALCIFEROLO;;
001738107;VITAMINA A ACETATO;;
001738119;VITAMINA A ACETATO;;
001738119;COLECALCIFEROLO;;
001740012;DIFENIDRAMINA CLORIDRATO;;
001740024;DIFENIDRAMINA CLORIDRATO;;N.D.
001740036;DIFENIDRAMINA CLORIDRATO;;
001740048;DIFENIDRAMINA CLORIDRATO;;
001740051;DIFENIDRAMINA CLORIDRATO;;
001740063;DIFENIDRAMINA CLORIDRATO;;
001755014;N.D.;0;N.D.
001755026;PARACETAMOLO;;
001755026;ACIDO ACETILSALICILICO;;
001755038;ACIDO ACETILSALICILICO;;
001755038;PARACETAMOLO;;
001773011;TOCOFEROLO ACETATO ALFA;;
001773023;TOCOFEROLO ACETATO ALFA;;
001773035;TOCOFEROLO ACETATO ALFA;;
001773047;TOCOFEROLO ACETATO ALFA;;
001773050;TOCOFEROLO ACETATO ALFA;;
001784014;N.D.;0;N.D.
001784026;N.D.;0;N.D.
001785017;N.D.;0;N.D.
001785029;N.D.;0;N.D.
001790017;N.D.;0;N.D.
001790029;N.D.;0;N.D.
001790031;N.D.;0;N.D.
001790043;TOCOFEROLO ACETATO ALFA;30;milligrammi
001790043;TOCOFEROLO ACETATO ALFA;30;MG
001790056;TOCOFEROLO ACETATO ALFA;100;MG
001790056;TOCOFEROLO ACETATO ALFA;100;milligrammi
001790068;TOCOFEROLO ACETATO ALFA;300;MG
001790068;TOCOFEROLO ACETATO ALFA;300;milligrammi
001793013;BILE BOVINA ESTRATTO/FITOTERAPICI;;
001798014;N.D.;0;N.D.
001798026;N.D.;0;N.D.
001801012;MEGLUMINA STIBIATO;;N.D.
001802014;IODIO;;N.D.
001802026;IODIO;500;milligram(s)/millilitre
001803016;N.D.;0;N.D.
001808017;TIAMINA CLORIDRATO;;
001808029;N.D.;0;N.D.
001831015;N.D.;0;N.D.
001831027;N.D.;0;N.D.
001848011;N.D.;0;N.D.
001848023;N.D.;0;N.D.
001848035;OLIO DI RICINO;;
001848047;OLIO DI RICINO;;
001858012;N.D.;0;N.D.
001858024;N.D.;0;N.D.
001861018;N.D.;0;N.D.
001861020;ACIDO COLICO/NICOTINAMIDE/BOLDO/CASCARA;;
001861032;N.D.;0;N.D.
001861044;ACIDO COLICO/NICOTINAMIDE/BOLDO/CASCARA;;
